BeeID,ColonyID,Treatment,CrithidiaCount,BeeSize,TimeToDeath,Death
1,A,CSUN,39,3.275,7,0
2,B,SUN,NA,3.325,1,1
3,C,MIX,66,2.9,7,0
4,A,KMIX,127,3.1,7,0
5,B,CSUN,NA,3,6,1
6,C,SUN,0,2.875,7,0
7,A,MIX,164,2.8,7,0
8,B,KMIX,NA,3.375,5,1
9,C,CSUN,6,3,7,0
10,A,SUN,NA,3.1,1,1
11,B,MIX,0,2.875,7,0
12,C,KMIX,22,3.25,7,0
13,A,CSUN,13,3.55,7,0
14,B,SUN,0,2.85,7,0
15,C,MIX,89,3.55,7,0
16,A,KMIX,121,2.75,7,0
17,B,CSUN,0,3.1,7,0
18,C,SUN,21,3.2,7,0
19,A,MIX,350,3.5,7,0
20,B,KMIX,87,3.05,7,0
21,C,CSUN,0,3.25,7,0
22,A,SUN,3,3.05,7,0
23,B,MIX,0,3,7,0
24,C,KMIX,232,3.05,7,0
25,A,CSUN,30,2.85,7,0
26,B,SUN,0,3.05,7,0
27,C,MIX,17,2.75,7,0
28,A,KMIX,141,3.3,7,0
29,B,CSUN,29,2.8,7,0
30,C,SUN,29,3.1,7,0
31,A,MIX,117,3.15,7,0
32,B,KMIX,2,3.125,7,0
33,C,CSUN,0,3.05,7,0
34,A,SUN,31,3.4,7,0
35,B,MIX,1,3.3,7,0
36,C,KMIX,71,3.25,7,0
37,A,CSUN,21,2.65,7,0
38,B,SUN,0,3.2,7,0
39,C,MIX,88,3.2,7,0
40,A,KMIX,110,NA,7,0
41,B,CSUN,0,3,7,0
42,C,SUN,65,2.75,7,0
43,A,MIX,87,2.75,7,0
44,B,KMIX,270,2.775,7,0
45,C,CSUN,0,2.7,7,0
46,B,SUN,0,3.05,7,0
47,B,MIX,1,3.2,7,0
48,C,KMIX,250,2.75,7,0
49,A,CSUN,69,3.3,7,0
50,C,SUN,36,2.9,7,0
51,C,MIX,3,2.875,7,0
52,A,KMIX,122,2.9,7,0
53,B,CSUN,NA,3.15,5,1
54,A,SUN,104,3.5,7,0
55,A,MIX,16,2.95,7,0
56,B,KMIX,2,2.8,7,0
57,C,CSUN,0,2.7,7,0
58,B,SUN,0,3.15,7,0
59,B,MIX,0,3.05,7,0
60,C,KMIX,67,2.3,7,0
61,A,CSUN,38,2.95,7,0
62,C,SUN,5,2.95,7,0
63,C,MIX,22,3.45,7,0
64,A,KMIX,168,3.05,7,0
65,B,CSUN,10,3.3,7,0
66,A,SUN,NA,3.3,3,1
67,A,MIX,67,3.225,7,0
68,B,KMIX,0,3.15,7,0
69,C,CSUN,63,3.15,7,0
70,B,SUN,NA,2.8,5,1
71,B,MIX,NA,3,6,1
72,C,KMIX,62,2.5,7,0
73,A,CSUN,0,2.9,7,0
74,C,SUN,7,2.7,7,0
75,C,MIX,73,3,7,0
76,A,KMIX,90,3.25,7,0
77,B,CSUN,0,3.075,7,0
78,A,SUN,16,2.7,7,0
79,A,MIX,51,2.95,7,0
80,B,KMIX,10,2.875,7,0
81,C,CSUN,7,2.85,7,0
82,B,SUN,0,3.175,7,0
83,B,MIX,157,2.85,7,0
84,C,KMIX,55,2.9,7,0
85,A,CSUN,0,2.5,7,0
86,C,SUN,70,2.95,7,0
87,C,MIX,16,3.3,7,0
88,A,KMIX,128,3.05,7,0
89,B,CSUN,0,3.5,7,0
90,C,SUN,0,3.15,7,0
91,A,MIX,91,3,7,0
92,B,KMIX,88,2.875,7,0
93,C,CSUN,6,3.1,7,0
94,A,SUN,80,3.25,7,0
95,B,MIX,42,2.675,7,0
96,C,KMIX,44,3.1,7,0
97,A,CSUN,15,3,7,0
98,B,SUN,2,3.2,7,0
99,C,MIX,8,2.8,7,0
100,A,KMIX,173,2.55,7,0
101,B,CSUN,NA,3.25,3,1
102,C,SUN,10,3.1,7,0
103,A,MIX,164,2.95,7,0
104,B,KMIX,1,2.9,7,0
105,C,CSUN,27,3.25,7,0
106,A,SUN,24,3.25,7,0
107,B,MIX,2,3.2,7,0
108,C,KMIX,142,2.95,7,0
109,A,CSUN,0,3.1,7,0
110,B,SUN,NA,3.3,5,1
111,C,MIX,130,2.8,7,0
112,A,KMIX,110,3.425,7,0
113,B,CSUN,17,3.25,7,0
114,C,SUN,23,2.7,7,0
115,A,MIX,167,3.15,7,0
116,B,KMIX,11,3.125,7,0
117,C,CSUN,10,2.65,7,0
118,A,SUN,20,2.4,7,0
119,B,MIX,9,3.15,7,0
120,C,KMIX,51,2.8,7,0