BeeCupID,Treatment,NosemaDay10 Count,Day 10 Spores/mL,Average Day 15 Count,Average Day15 Spores/mL
1,S,809,40450000,1491,74550000
2,B,1578,78900000,2035,101750000
3,NP,647,32350000,619,30950000
4,S,1018,50900000,1863,93150000
5,B,2048,102400000,1945,97250000
6,NP,774,38700000,639,31950000
7,S,1286,64300000,1946,97300000
8,B,2128,106400000,1743,87150000
9,NP,904,45200000,374,18700000
10,S,2338,116900000,1858,92900000
11,B,1618,80900000,1818,90900000
12,NP,866,43300000,355,17750000
13,S,802,40100000,1585,79250000
14,B,1636,81800000,2220,111000000
15,NP,642,32100000,548,27400000
16,S,1012,50600000,1460,73000000
17,B,1984,99200000,1948,97400000
18,NP,984,49200000,336,16800000
19,S,810,40500000,1473,73650000
20,B,1724,86200000,2302,115100000
21,NP,662,33100000,351,17550000
22,S,1337,66850000,1571,78550000
23,B,1444,72200000,1848,92400000
24,NP,1000,50000000,518,25900000
25,S,1023,51150000,1249,62450000
26,B,1523,76150000,1919,95950000
27,NP,844,42200000,517,25850000
28,S,1233,61650000,1708,85400000
29,B,1219,60950000,2248,112400000
30,NP,1012,50600000,383,19150000
31,S,794,39700000,1077,53850000
32,B,1632,81600000,2398,119900000
33,NP,920,46000000,454,22700000
34,NP,586,29300000,358,17900000